grain,series_id,item_code,label,sb_class,total_qty_hist,model,model_params,rmsse,mase,smape,n_trials,n_backtest_folds,acc_change_vs_prev,forecast_total_4w,p_occurrence_week,routine_weekly,routine_total_4w,bulk_share,w1_2026-06-15,w2_2026-06-22,w3_2026-06-29,w4_2026-07-06,customer,channel
sku_customer,"sku_customer::2016833|Hosin Global Electronics Co., Ltd",2016833,교체형,lumpy,28763.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.0052450448386889e-07,4.5407293613482737e-07,2.0,11,6,,0.00015320289756774876,8.848696480419496e-09,0.0,0.0,1.0,3.830072439193719e-05,3.830072439193719e-05,3.830072439193719e-05,3.830072439193719e-05,"Hosin Global Electronics Co., Ltd",
sku_customer,sku_customer::2018332|BaDa Group (HongKong) Corporation L,2018332,교체형,lumpy,28500.0,sba,{'alpha': 0.05},0.03831449689640829,0.15734243154450914,2.0,11,6,-0.513680690582802,239.96036382707751,0.012329106735552275,0.0,0.0,1.0,59.99009095676938,59.99009095676938,59.99009095676938,59.99009095676938,BaDa Group (HongKong) Corporation L,
sku_customer,sku_customer::1006414|PATRIOT MEMORY INC.,1006414,교체형,intermittent,28025.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",4.046414090543066e-11,2.354783447130115e-10,2.0,11,6,,7.741119574924606e-08,1.2036445524962848e-12,0.0,0.0,1.0,1.9352798937311515e-08,1.9352798937311515e-08,1.9352798937311515e-08,1.9352798937311515e-08,PATRIOT MEMORY INC.,
sku_customer,sku_customer::1007729|Skyrich View (HK) Limited,1007729,교체형,lumpy,28002.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",6.602183713920734e-12,4.8807448674409366e-11,2.0,11,6,,1.603180190432324e-08,8.27644339008138e-13,0.0,0.0,1.0,4.00795047608081e-09,4.00795047608081e-09,4.00795047608081e-09,4.00795047608081e-09,Skyrich View (HK) Limited,
sku_customer,sku_customer::2018393|EVERBOND ELECTRONICS LIMITED,2018393,교체형,intermittent,27861.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",4.8429246022305e-07,2.712543702420842e-06,2.0,11,6,,0.0008865038470099709,2.3102714954909402e-08,0.0,0.0,1.0,0.00022162596175249273,0.00022162596175249273,0.00022162596175249273,0.00022162596175249273,EVERBOND ELECTRONICS LIMITED,
sku_customer,sku_customer::2019841|REALTECH SEMICONDUCTOR TECHNOLOGY L,2019841,교체형,intermittent,27804.0,croston,{'alpha': 0.1},0.7275915708536466,3.84905002618971,1.940746933362232,11,6,-0.10675562660456984,521.5370078740157,0.007874015748031496,0.0,0.0,1.0,130.38425196850392,130.38425196850392,130.38425196850392,130.38425196850392,REALTECH SEMICONDUCTOR TECHNOLOGY L,
sku_customer,sku_customer::2019241|PINE INFO CO LTD,2019241,교체형,intermittent,27690.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.004608332881362047,0.01588365897142438,2.0,11,6,-0.5847631037275748,4.667297288219956,0.00027097220406926736,1.166824322054989,4.667297288219956,0.0,1.166824322054989,1.166824322054989,1.166824322054989,1.166824322054989,PINE INFO CO LTD,
sku_customer,sku_customer::2016929|Wilk Elektronik S.A.,2016929,교체형,intermittent,27098.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",2.1808566437479812e-05,6.2805542761605e-05,2.0,11,6,,0.019227037806962638,1.8268781541162487e-06,0.0048067594517406595,0.019227037806962638,0.0,0.0048067594517406595,0.0048067594517406595,0.0048067594517406595,0.0048067594517406595,Wilk Elektronik S.A.,
sku_customer,sku_customer::2018609|EVERBOND ELECTRONICS LIMITED,2018609,교체형,lumpy,26570.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",10.31051985412643,39.65849402114186,1.9961302434855641,11,6,-0.2903331326681491,973.6449901698832,0.04277697382579131,0.0,0.0,1.0,243.4112475424708,243.4112475424708,243.4112475424708,243.4112475424708,EVERBOND ELECTRONICS LIMITED,
sku_customer,sku_customer::2019462|BaDa Group (HongKong) Corporation L,2019462,교체형,intermittent,26550.0,sba,{'alpha': 0.05},0.01815001841184055,0.05774465577114562,2.0,11,6,-0.964791698648105,82.03989890161424,0.013639242549045711,0.0,0.0,1.0,20.50997472540356,20.50997472540356,20.50997472540356,20.50997472540356,BaDa Group (HongKong) Corporation L,
sku_customer,sku_customer::2018097|PINE INFO CO LTD,2018097,교체형,lumpy,26500.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.00033611552875095833,0.0007682175921133222,2.0,11,6,,0.1456239426553166,4.4637354476270175e-05,0.03640598566382915,0.1456239426553166,0.0,0.03640598566382915,0.03640598566382915,0.03640598566382915,0.03640598566382915,PINE INFO CO LTD,
sku_customer,sku_customer::2019414|EVERBOND ELECTRONICS LIMITED,2019414,교체형,intermittent,26398.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.00044614410174998234,0.002733048926135002,2.0,11,6,-0.5847631037275748,0.846302475573578,1.2279347824946575e-05,0.0,0.0,1.0,0.2115756188933945,0.2115756188933945,0.2115756188933945,0.2115756188933945,EVERBOND ELECTRONICS LIMITED,
sku_customer,sku_customer::1007826|UNIFORTUNE (HK) COMPANY LIMITED,1007826,교체형,intermittent,26321.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.1709867889165972e-10,5.854650641001776e-10,2.0,11,6,,1.8076342042075962e-07,4.6184986949273006e-12,0.0,0.0,1.0,4.5190855105189906e-08,4.5190855105189906e-08,4.5190855105189906e-08,4.5190855105189906e-08,UNIFORTUNE (HK) COMPANY LIMITED,
sku_customer,sku_customer::2016929|PINE INFORMATION CO LTD,2016929,교체형,intermittent,25993.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.8159611644405175e-10,4.436297367024587e-10,2.0,11,6,,1.245966584928716e-07,2.00743619721841e-11,3.11491646232179e-08,1.245966584928716e-07,0.0,3.11491646232179e-08,3.11491646232179e-08,3.11491646232179e-08,3.11491646232179e-08,PINE INFORMATION CO LTD,
sku_customer,sku_customer::1006937|MF WAREHOUSING & LOGISTICS,1006937,교체형,lumpy,25957.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",8.590653294681934e-08,3.5026993706197503e-07,2.0,11,6,,0.00010665090420286008,5.8655082341676926e-09,0.0,0.0,1.0,2.666272605071502e-05,2.666272605071502e-05,2.666272605071502e-05,2.666272605071502e-05,MF WAREHOUSING & LOGISTICS,
sku_customer,sku_customer::2017902|Eternal International (HK) Ltd.,2017902,교체형,lumpy,25906.0,sba,{'alpha': 0.05},0.008986053853691972,0.0674417829694249,2.0,11,6,0.013652508966809642,93.49280693543392,0.011520654373168397,0.0,0.0,1.0,23.37320173385848,23.37320173385848,23.37320173385848,23.37320173385848,Eternal International (HK) Ltd.,
sku_customer,sku_customer::2018959|Eternal International (HK) Ltd.,2018959,교체형,intermittent,25903.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.0015386481781798987,0.0056317804338712925,2.0,11,6,-0.5847631037275749,1.711208625053611,9.821598749935865e-05,0.0,0.0,1.0,0.42780215626340273,0.42780215626340273,0.42780215626340273,0.42780215626340273,Eternal International (HK) Ltd.,
sku_customer,sku_customer::1008398|KC Int'L (HK) Ltd,1008398,교체형,lumpy,25902.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.4240303212411618e-07,8.639928817097849e-07,2.0,11,6,,0.000262512896458564,1.7094722881818743e-08,0.0,0.0,1.0,6.5628224114641e-05,6.5628224114641e-05,6.5628224114641e-05,6.5628224114641e-05,KC Int'L (HK) Ltd,
sku_customer,sku_customer::1007976|MF WAREHOUSING & LOGISTICS,1007976,교체형,lumpy,25790.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.238775873393233e-07,7.225825956413417e-07,2.0,11,6,,0.00021859791701672913,1.4221043507747428e-08,0.0,0.0,1.0,5.4649479254182284e-05,5.4649479254182284e-05,5.4649479254182284e-05,5.4649479254182284e-05,MF WAREHOUSING & LOGISTICS,
sku_customer,sku_customer::1007871|Eudar Technology Inc.,1007871,교체형,lumpy,25765.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.3319879957186637e-07,4.695550235303347e-07,2.0,11,6,,0.00014191353503831153,1.5644365577623764e-08,0.0,0.0,1.0,3.547838375957788e-05,3.547838375957788e-05,3.547838375957788e-05,3.547838375957788e-05,Eudar Technology Inc.,
sku_customer,sku_customer::1009054|MF WAREHOUSING & LOGISTICS,1009054,교체형,intermittent,25765.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",5.099842992033822e-07,3.408624468457467e-06,2.0,11,6,,0.001030187994369597,1.3484347847997574e-08,0.0,0.0,1.0,0.00025754699859239924,0.00025754699859239924,0.00025754699859239924,0.00025754699859239924,MF WAREHOUSING & LOGISTICS,
sku_customer,"sku_customer::2019670|Hosin Global Electronics Co., Ltd",2019670,교체형,intermittent,25600.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.031730063267703126,0.18159269617748186,2.0,11,6,-0.3427779743064528,54.53125873052128,0.0010650636470804938,0.0,0.0,1.0,13.63281468263032,13.63281468263032,13.63281468263032,13.63281468263032,"Hosin Global Electronics Co., Ltd",
sku_customer,sku_customer::1008417|UNIFORTUNE (HK) COMPANY LIMITED,1008417,교체형,lumpy,25293.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.758658670642877e-10,1.242326558420202e-09,2.0,11,6,,3.685897840875387e-07,4.615010142880701e-12,0.0,0.0,1.0,9.214744602188467e-08,9.214744602188467e-08,9.214744602188467e-08,9.214744602188467e-08,UNIFORTUNE (HK) COMPANY LIMITED,
sku_customer,sku_customer::2016728|PATRIOT MEMORY INC.,2016728,교체형,intermittent,25000.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.9087132314053618e-08,1.1139989782412792e-07,2.0,11,6,,3.2668709688906755e-05,7.778264211644465e-10,0.0,0.0,1.0,8.167177422226689e-06,8.167177422226689e-06,8.167177422226689e-06,8.167177422226689e-06,PATRIOT MEMORY INC.,
