grain,series_id,item_code,label,sb_class,total_qty_hist,model,model_params,rmsse,mase,smape,n_trials,n_backtest_folds,acc_change_vs_prev,large_threshold,p_large_week,p_large_4w,expected_large_size,last_large_week,customer,channel
sku_customer,"sku_customer::2017601|World Pacific Industrial H.K., Ltd.",2017601,교체형,lumpy,62428.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",6.777453532931488e-12,4.101951280208713e-11,2.0,11,6,,31866.4,4.501422699048787e-16,1.7763568394002505e-15,44628.0,2023-07-03,"World Pacific Industrial H.K., Ltd.",
sku_customer,sku_customer::1008981|Patriot Memory Inc.,1008981,교체형,intermittent,61670.0,croston,{'alpha': 0.1},6.6912553517736715,47.63287441278595,1.9728882128593004,10,6,,41656.0,0.1024,0.35087045613322254,48870.0,2026-05-18,Patriot Memory Inc.,
sku_customer,sku_customer::2019206|PATRIOT MEMORY INC.,2019206,교체형,intermittent,60964.0,sba,{'alpha': 0.05},0.05387624519365803,0.17939711728886532,2.0,11,6,-0.7363636548430674,9923.2,5.029620869101664e-06,2.0118331694463087e-05,10787.0,2025-06-30,PATRIOT MEMORY INC.,
sku_customer,sku_customer::1008551|GoldKey Technology Corporation,1008551,교체형,intermittent,60391.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.005725691865418133,0.03918769536994641,2.0,11,6,-0.5847631037275748,42078.200000000004,0.00048357032784585626,0.0019328787220697086,50000.0,2025-12-01,GoldKey Technology Corporation,
sku_customer,sku_customer::2019416|Eternal International (HK) Ltd.,2019416,교체형,intermittent,60131.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.00012761750768843362,0.0007330339836772638,2.0,11,6,,31610.2,1.1692013098706418e-06,4.6767970373062795e-06,32640.0,2025-05-26,Eternal International (HK) Ltd.,
sku_customer,"sku_customer::2018827|Hosin Global Electronics Co., Ltd",2018827,교체형,intermittent,59778.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",7.801432826277611e-07,3.983037846526124e-06,2.0,11,6,,26479.8,8.627182941015568e-09,3.45087314279624e-08,29733.0,2024-12-23,"Hosin Global Electronics Co., Ltd",
sku_customer,sku_customer::1008279|Korchina Logistics (H.K) Ltd,1008279,교체형,intermittent,59740.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",2.3742139940986248e-14,1.358799168531031e-13,2.0,11,6,,29978.6,4.953946674085439e-16,1.7763568394002505e-15,30051.0,2023-06-19,Korchina Logistics (H.K) Ltd,
sku_customer,"sku_customer::1009158|Hosin Global Electronics Co., Ltd",1009158,교체형,intermittent,58673.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",2.8541253269345563e-05,0.00015158876869731793,2.0,11,6,,26513.0,1.4615016373367646e-06,5.8459937336552414e-06,34147.0,2025-06-02,"Hosin Global Electronics Co., Ltd",
sku_customer,sku_customer::2019749|SF Supply Chain (Hong Kong) Limited,2019749,교체형,intermittent,58639.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",0.5568343343308387,3.1647200029391915,1.399026557702572,11,6,-0.4255123017415435,22495.6,0.013743895347200002,0.053852562345436006,23766.0,2026-03-16,SF Supply Chain (Hong Kong) Limited,
sku_customer,"sku_customer::1008815|Hosin Global Electronics Co., Ltd",1008815,교체형,intermittent,58486.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.02282564806464752,0.13688702427417757,2.0,11,6,-0.5847631037275748,34737.2,0.0001584563250285335,0.0006336746655861702,38400.0,2025-10-27,"Hosin Global Electronics Co., Ltd",
sku_customer,"sku_customer::1008497|G.Skill International Ent. Co., Ltd",1008497,교체형,lumpy,58454.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",7.279562446978286e-11,3.059669407188363e-10,2.0,11,6,,9852.0,7.752573204255778e-12,3.101030543462002e-11,17754.0,2024-05-13,"G.Skill International Ent. Co., Ltd",
sku_customer,sku_customer::1007976|EVERBOND ELECTRONICS LIMITED,1007976,교체형,lumpy,58270.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.004191899742008394,0.02094469720129624,2.0,11,6,-0.5847631037275748,22636.400000000005,2.4519928654489344e-07,9.807967854547073e-07,30659.0,2025-04-07,EVERBOND ELECTRONICS LIMITED,
sku_customer,"sku_customer::2013652|XINRONGDA CO., Limited",2013652,교체형,intermittent,58197.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",6.948479445123285e-07,4.020807709005647e-06,2.0,11,6,,31707.6,1.791809973196052e-12,7.1671557577701606e-12,33447.0,2024-04-01,"XINRONGDA CO., Limited",
sku_customer,sku_customer::2017143|PATRIOT MEMORY INC.,2017143,교체형,intermittent,57600.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",2.6102237415931357e-10,1.7953767455473956e-09,2.0,11,6,,40320.0,3.2302512136635714e-14,1.2922996006636822e-13,48000.0,2023-11-27,PATRIOT MEMORY INC.,
sku_customer,"sku_customer::1009303|Hosin Global Electronics Co., Ltd",1009303,교체형,lumpy,57293.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.0011533971652653034,0.008311108597545198,2.0,11,6,-0.5847631037275748,32315.400000000005,0.00019807040628566568,0.0007920462649084747,50761.0,2025-11-03,"Hosin Global Electronics Co., Ltd",
sku_customer,sku_customer::1005728|MF WAREHOUSING & LOGISTICS,1005728,교체형,lumpy,56715.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.9559379491956903e-07,1.5828930222624538e-06,2.0,11,6,,45368.4,7.410693798290598e-10,2.964277712180774e-09,56709.0,2024-10-07,MF WAREHOUSING & LOGISTICS,
sku_customer,sku_customer::1009219|TEC LOGISTICS COMPANY,1009219,교체형,lumpy,56663.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",3.994258191467563e-06,3.066419359801164e-05,2.0,11,6,,43530.4,4.4171176697628414e-09,1.76684705754937e-08,53663.0,2024-12-02,TEC LOGISTICS COMPANY,
sku_customer,"sku_customer::2018195|Hosin Global Electronics Co., Ltd",2018195,교체형,intermittent,56150.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.971623107765975e-09,9.249157505246154e-09,2.0,11,6,,20412.600000000002,2.607407158283624e-11,1.042961272901266e-10,21600.0,2024-06-24,"Hosin Global Electronics Co., Ltd",
